Subgroup,Outcome,Model,Type,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7
Hispanic,SUB,GLM,matRRhigh,1.809448761,1.150633705,1.250619389,1.19856828,0.810941179,2.255676125,0.808794693,1.610403542
Hispanic,SMM,GLM,matRRfit,0.878323669,1.131386235,1.055314487,1.413858809,0.598495236,1.303922553,0.934826608,1.223353162
Hispanic,SMM,GLM,matRRlow,0.732773775,0.92589815,0.868152622,1.170974444,0.490483805,1.0718551,0.759178574,1.023868904
Hispanic,SMM,GLM,matRRhigh,1.052783948,1.38247907,1.282825899,1.707122426,0.730292302,1.586234952,1.151113607,1.461703693
White,GDM,GLM,matRRfit,0.926359748,1.09467999,0.935785717,1.040774818,0.941079252,1.006045412,1.057974089,0.925001211
White,GDM,GLM,matRRlow,0.846563864,0.989735935,0.848282009,0.945830186,0.854672616,0.912431841,0.957053358,0.845854331
White,GDM,GLM,matRRhigh,1.013677076,1.210751513,1.032315786,1.145250214,1.036221521,1.109263537,1.169536853,1.011553893
White,PTB,GLM,matRRfit,0.995327529,1.018471966,1.065282931,0.94805023,0.992786471,0.947196277,1.176645225,0.896881288
White,PTB,GLM,matRRlow,0.917077747,0.928339922,0.9744919,0.868071409,0.909210079,0.865825175,1.073620217,0.826131166
White,PTB,GLM,matRRhigh,1.080253984,1.117354885,1.16453274,1.035397813,1.08404537,1.036214714,1.289556551,0.973690471
White,HDP,GLM,matRRfit,1.006919658,1.044432262,0.975859093,1.018134115,0.986275475,0.970785082,0.966788024,1.061737237
White,HDP,GLM,matRRlow,0.934940738,0.960151236,0.899538151,0.939938629,0.910228656,0.894420785,0.88799055,0.985920139
White,HDP,GLM,matRRhigh,1.084440067,1.136111385,1.058655453,1.10283485,1.068675774,1.053669246,1.052577737,1.143384657
White,SMI,GLM,matRRfit,1.351918146,0.493487214,1.505189869,0.856875723,0.686294266,1.053714367,0.590607353,1.03887784
White,SMI,GLM,matRRlow,1.102687041,0.382414024,1.202415594,0.678148051,0.536602119,0.825863156,0.450443302,0.830874171
White,SMI,GLM,matRRhigh,1.657480869,0.636821912,1.884204225,1.082707535,0.877744986,1.344428505,0.77438613,1.298953806
White,PMAD,GLM,matRRfit,0.978339255,1.095130963,1.052523936,0.925205119,1.039887416,0.945094932,1.015130994,1.010901314
White,PMAD,GLM,matRRlow,0.898587156,0.994723163,0.958689038,0.843180517,0.947908745,0.85925719,0.920037355,0.927369949
White,PMAD,GLM,matRRhigh,1.065169573,1.205673971,1.155543239,1.015209074,1.140791078,1.039507659,1.120053365,1.101956633
White,MDP,GLM,matRRfit,1.018870672,1.016093396,1.053981663,0.926689985,1.026351645,0.974269258,1.019575532,0.994796707
White,MDP,GLM,matRRlow,0.945818789,0.93358638,0.971434166,0.854647957,0.946827206,0.897093141,0.936218311,0.922899809
White,MDP,GLM,matRRhigh,1.09756484,1.105892086,1.143543623,1.004804752,1.112555377,1.058084768,1.110354553,1.072294608
White,SUB,GLM,matRRfit,0.953410728,1.059288919,1.011992435,0.928026726,1.032841738,0.973011732,1.005300121,0.985787626
White,SUB,GLM,matRRlow,0.880150128,0.968361318,0.927837061,0.851579018,0.948410787,0.891906234,0.918779838,0.910605747
White,SUB,GLM,matRRhigh,1.032769284,1.158754478,1.103780752,1.011337275,1.124789036,1.06149256,1.099967905,1.067176707
White,SMM,GLM,matRRfit,0.974690713,1.209047487,1.046696272,0.878375264,1.003827291,1.139207931,1.028015921,0.967042254
White,SMM,GLM,matRRlow,0.838844481,1.021132261,0.886792441,0.744453577,0.851505659,0.965151855,0.866199895,0.830691883
White,SMM,GLM,matRRhigh,1.132536494,1.431544064,1.235433496,1.03638847,1.183396985,1.344653386,1.220061029,1.125773275
Other,GDM,GLM,matRRfit,0.998529913,0.822852136,1.120187181,1.064072337,1.050900051,0.98228117,0.915567179,0.997610421
Other,GDM,GLM,matRRlow,0.915383285,0.745863443,1.022166217,0.971896897,0.959782375,0.895126918,0.829830146,0.914710042
Other,GDM,GLM,matRRhigh,1.089228963,0.907787671,1.227607897,1.164989765,1.150668055,1.077921217,1.010162456,1.08802408
Other,PTB,GLM,matRRfit,0.972046552,0.915465153,1.102403872,0.932176272,1.045650395,1.033089103,0.994801699,0.976816371
Other,PTB,GLM,matRRlow,0.890906411,0.829963482,1.00484142,0.850312748,0.954625919,0.94144761,0.902546987,0.896304218
Other,PTB,GLM,matRRhigh,1.060576607,1.009775085,1.209438895,1.021921175,1.145354141,1.133651075,1.096486315,1.064560674
Other,HDP,GLM,matRRfit,0.926609092,1.069496564,1.037099752,0.950247617,1.041967086,1.068878963,0.919099744,1.010586576
Other,HDP,GLM,matRRlow,0.859247112,0.983013269,0.955985647,0.876967293,0.962056596,0.985230417,0.843456771,0.936985061
Other,HDP,GLM,matRRhigh,0.999252016,1.163588465,1.125096281,1.029651323,1.128515114,1.159629482,1.001526537,1.089969595
Other,SMI,GLM,matRRfit,1.049887469,0.649467502,0.297087963,2.961790749,1.257191654,0.439872512,1.128312298,2.577447077
Other,SMI,GLM,matRRlow,0.818561642,0.484389524,0.23194471,2.452958261,1.011448912,0.351522088,0.911678521,2.162748705
Other,SMI,GLM,matRRhigh,1.346586062,0.870803382,0.380527142,3.576173546,1.562640324,0.550428645,1.396422765,3.071662196
Other,PMAD,GLM,matRRfit,0.925181375,1.204455556,0.981484651,0.988856258,0.971732004,1.048106046,0.955374566,0.962039579
Other,PMAD,GLM,matRRlow,0.839430298,1.079529388,0.881337534,0.889659859,0.873299315,0.93961742,0.852102396,0.869394823
Other,PMAD,GLM,matRRhigh,1.019692259,1.343838531,1.093011568,1.099112981,1.081259393,1.169120816,1.071163003,1.064556778
Other,MDP,GLM,matRRfit,0.953206737,1.206907663,0.892338478,1.04081446,0.998391731,1.02756445,0.961949188,0.982096483
Other,MDP,GLM,matRRlow,0.874596258,1.095231366,0.811009556,0.948607956,0.909202975,0.933622125,0.87011769,0.898713994
Other,MDP,GLM,matRRhigh,1.038882884,1.329971139,0.981823152,1.141983612,1.096329507,1.13095938,1.063472507,1.073215182
Other,SUB,GLM,matRRfit,0.832627592,1.047206317,1.012590652,1.302278901,0.88033767,1.056109,0.930809175,1.018906281
Other,SUB,GLM,matRRlow,0.729538255,0.906415744,0.881727667,1.138679103,0.76689625,0.917739258,0.802613393,0.89415179
Other,SUB,GLM,matRRhigh,0.950284241,1.209865427,1.162875871,1.48938391,1.010559658,1.215341079,1.079480765,1.161066859
Other,SMM,GLM,matRRfit,0.739427967,1.130892957,1.076550453,1.078894828,0.862819614,1.061817432,1.121526177,0.955256088
Other,SMM,GLM,matRRlow,0.63097738,0.954937601,0.91281033,0.916741615,0.731669762,0.899077844,0.945184662,0.820971611
Other,SMM,GLM,matRRhigh,0.86651873,1.339269581,1.269662316,1.269729693,1.017477728,1.254014062,1.330767431,1.111505175
Medicaid,GDM,GLM,matRRfit,0.976740084,1.063416118,0.965543373,0.985136739,1.085964936,0.902725241,0.960933788,1.045612222
Medicaid,GDM,GLM,matRRlow,0.893146841,0.961516438,0.875992244,0.895423748,0.987853249,0.818823319,0.868231688,0.956804933
Medicaid,GDM,GLM,matRRhigh,1.068157158,1.176114932,1.064249155,1.083838122,1.193820887,0.995224296,1.063533798,1.142662294
Medicaid,PTB,GLM,matRRfit,0.973047737,0.998724947,0.988986191,1.02691151,1.009963528,0.952318215,1.108793623,0.910667911
Medicaid,PTB,GLM,matRRlow,0.898605616,0.91323095,0.907705758,0.944240369,0.928618486,0.874075248,1.015248108,0.84163056
Medicaid,PTB,GLM,matRRhigh,1.053656778,1.09222264,1.077544874,1.116820763,1.098434227,1.037565111,1.210958473,0.985368264
Medicaid,HDP,GLM,matRRfit,0.974281339,1.013100359,1.035047062,0.97988094,1.009214492,0.927906076,1.070507226,0.979649179
Medicaid,HDP,GLM,matRRlow,0.901025335,0.927742368,0.951087628,0.901419044,0.928605121,0.852180035,0.980971679,0.906798423
